stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\kuoan\OneDrive\Desktop\fin\Group50_Project\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.10562] added dtor for sample_instance 00000000012f8e40, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10563] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10565] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10566] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10567] added dtor for sample_instance 00000000012fa0e0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10569] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10570] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10572] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10573] added dtor for sample_instance 00000000012fa200, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10575] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10576] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10577] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10579] added dtor for sample_instance 00000000012fa3b0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10580] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10589] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10591] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10593] added dtor for sample_instance 00000000012f9df0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10614] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10616] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10617] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10619] added dtor for sample_instance 00000000012f9f10, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10620] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10622] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10623] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10624] added dtor for sample_instance 00000000012fe7d0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10626] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10627] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10629] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10630] added dtor for sample_instance 00000000012fea00, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10632] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10633] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10634] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10636] added dtor for sample_instance 00000000012feb20, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10638] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10639] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10640] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10642] added dtor for sample_instance 00000000012fec40, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10644] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10645] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10646] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10648] added dtor for sample_instance 00000000012fed60, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10649] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10651] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10652] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10653] added dtor for sample_instance 00000000012fee80, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10655] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10656] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10658] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10659] added dtor for sample_instance 0000000002c1f3f0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10661] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10662] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10663] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10665] added dtor for sample_instance 0000000002c1f510, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10667] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10668] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10670] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10672] added dtor for sample_instance 0000000002c1f8c0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10674] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10675] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10677] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10678] added dtor for sample_instance 0000000002c20400, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10680] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10681] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10682] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10684] added dtor for sample_instance 0000000002c1f680, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10685] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10687] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10688] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10689] added dtor for sample_instance 0000000002c1f9e0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10691] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10692] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10694] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10695] added dtor for sample_instance 0000000002c1fb00, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10697] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10698] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10699] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10701] added dtor for sample_instance 0000000002c1fc20, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10702] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10704] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10705] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10706] added dtor for sample_instance 0000000002c1fe60, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10708] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10709] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10710] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10712] added dtor for sample_instance 0000000002c1fd40, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10713] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10715] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10716] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10717] added dtor for sample_instance 0000000002c1ff80, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10719] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10720] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10721] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10723] added dtor for sample_instance 0000000002c200a0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10725] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10726] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10727] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10729] added dtor for sample_instance 0000000002c201c0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10730] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10732] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10733] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10734] added dtor for sample_instance 0000000002c202e0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10736] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10737] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10738] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10740] added dtor for sample_instance 0000000002c1f7a0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10741] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10743] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10744] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10746] added dtor for sample_instance 0000000002c22a90, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10748] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10749] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10750] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10752] added dtor for sample_instance 0000000002c21bf0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10753] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10754] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10756] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10757] added dtor for sample_instance 0000000002c22610, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10759] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10760] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10761] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.10763] added dtor for sample_instance 0000000002c224f0, func 00007fffbe1d929b
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.10764] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10765] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.10767] 
system   D            wsystem.c:874  _al_win_safe_load_library        [   0.10793] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:780  load_library_at_path             [   0.10796] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:783  load_library_at_path             [   0.11008] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:684  d3d_init_display                 [   0.16336] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.16422] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1783 d3d_create_display_locked        [   0.16429] al_display=0000000002c23510
d3d      D         d3d_disp.cpp:1784 d3d_create_display_locked        [   0.16437] al_display->vt=0000000002c233a0
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.17756] found 192 format combinations
display  D   display_settings.c:212  debug_display_settings           [   0.17764] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17766] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17768] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17770] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17771] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17772] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17774] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17775] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17777] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17778] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17780] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17781] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17782] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17784] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17787] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17788] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17790] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17791] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17793] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17794] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17795] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17797] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17798] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17800] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17801] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17802] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17804] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17805] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17807] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17808] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17810] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17812] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17814] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17815] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17816] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17818] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17819] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17821] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17822] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17823] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17825] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17826] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17828] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17829] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17831] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17832] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17834] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17835] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17836] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17838] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17839] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17841] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17842] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17843] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17845] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17846] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17848] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17849] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17851] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17854] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17855] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17857] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17858] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17860] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17861] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17862] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17864] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17865] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17867] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17868] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17871] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17872] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17874] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17875] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17877] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17878] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17879] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17881] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17883] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17884] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17886] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17887] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17889] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17890] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.17892] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.17893] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17895] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.17896] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17897] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.17899] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17900] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.17902] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.17903] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.17905] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17906] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17908] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17909] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17911] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17912] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17914] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17915] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17916] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17918] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17919] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17921] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17922] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17924] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17925] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17927] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17928] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17930] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17931] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17932] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17934] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17935] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17937] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17938] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17940] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17941] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17943] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.17944] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.17945] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.17958] Single Buffer requirement not met.
